Encrypted_Text,Cipher_Type
Hahxqw.,Caesar
Unoqdd.,Vigenère
IULMRQ,Playfair
Enxute.,Rail Fence
Ctcevz.,Affine
Vfhqd Txduwd.,Caesar
Isojq Gkknjk.,Vigenère
LBGMNSXMDZBA,Playfair
Saa.cn uraeQt,Rail Fence
Uscvi Keipzi.,Affine
"Guxp dqg Frorxuv. Hqwhu Pdofroph, Vhbzdug, Pdfgxiih,",Caesar
"Thei kjt Sevkkbo. Uddah Cqvyeviu, Coumknt, Wkytebvo,",Vigenère
KDMCRACHMPMVATGMLKMOMSHMUCILGCXNDKORHCVEGF,Playfair
"D  o.tMo,ydafrmadClus ne acle ewr,Mcuf,unorErlmSa de",Rail Fence
"Xpeq ivx Salaepu. Cvzcp Qilsalqc, Ucyoipx, Qisxehhc,",Affine
"Vhbzdugv Vrqqh,",Caesar
"Iuisqbzi Iexju,",Vigenère
LIGNRMBTPAAWMG,Playfair
"Sa newrsSneydo,",Rail Fence
"Ucyoipxu Uavvc,",Affine
"Phqwhwk, Fdwkqhv, Dqjxv, dqg Vroglhuv Pdufklqj.",Caesar
"Cuxpudd, Sqdddoo, Qdqqi, qxz Wkbneubo Qwhmdyxc.",Vigenère
CLRQKLYHRSYOILRAEWXBRYPATCKFATORMDBFYQ,Playfair
"Me h,g  dsrnett,Ctns nu,adSlir acignhaeAsnoeMh.",Rail Fence
"Qcvzczr, Sizrvcu, Ivmeu, ivx Ualxwcpu Qipsrwvm.",Affine
"Pdof. Frvlqv, L krsh wkh gdbhv duh qhhuh dw kdqg",Caesar
"Cqvy. Secedc, M xylu pxo tkuuc qba xauba kp rwdn",Vigenère
ORUEHMXSAQFBHVKLCFBRCGXBMKMGKMIMPDRABZ,Playfair
"M.s,h  ere hac ois  oetedysaeneea adlCnIpha  rtn",Rail Fence
"Qils. Sauwvu, W rafc zrc xiycu ipc vccpc iz rivx",Affine
Wkdw Fkdpehuv zloo eh vdih,Caesar
Jxkp Gdqwxubo gebv ro ikbu,Vigenère
PDRSHYROCIATXGSUSCILOIIU,Playfair
T mslefhtCabr ilb aeahew s,Rail Fence
Zriz Sriqncpu owll nc uihc,Affine
Phqw. Zh grxew lw qrwklqj,Caesar
Cuxp. Mu zeexj ej jeddyxc,Vigenère
CLRQUGHRXCSKQRRPBFYQ,Playfair
M. bttget eduti ohnnWo ni,Rail Fence
Qcvz. Oc xaenz wz vazrwvm,Affine
Vhbz. Zkdw zrrg lv wklv ehiruh yv?,Caesar
Iuis. Mxkp gken yc jrei xupkho lc?,Vigenère
LIGNVYRSVNRHSXPDSXCIPHMKXP,Playfair
S.aoihbrsew htwo sti eoev?yW d sf ,Rail Fence
Ucyo. Oriz oaax wu zrwu nchapc ju?,Affine
Phqw. Wkh zrrg ri Eluqdqh,Caesar
Cuxp. Jxo mykt kv Rybjqxa,Vigenère
CLRQPDGUAVRHHPISMARAIU,Playfair
M.eofreet h odo innnTw Ba,Rail Fence
Qcvz. Zrc oaax ah Nwpvivc,Affine
"Pdof. Ohw hxhub Vrxoglhu khz klp grzqh d Erxjk,",Caesar
"Cqvy. Bud ueahi Cyqbneub xos rec zegju w Fkkqd,",Vigenère
ORUEULLKMLNDPAMUBKKMCFVYEAHRNYIMHAWEBV,Playfair
"M.teSd   n gac e ur olirhwhmdweaBuhlLeyueeio o,",Rail Fence
"Qils. Lcz cecpy Uaelxwcp rco rwq xaovc i Naemr,",Affine
"Dqg ehdu'w ehiruh klp, wkhuheb vkdoo zh vkdgrz",Caesar
"Qdn rowh'p lavynu dyw, ddubari irwbv mo irwtys",Vigenère
RACDIMDZCIPHMKBFRLCFMKDBPBMSQUILBOHRXZ,Playfair
"Ab'eemhbh son ertbfr i,teeysalw hdwda oh r lea",Rail Fence
"Ivx ncip'z nchapc rwq, zrcpcny urill oc urixao",Affine
"Wkh qxpehuv ri rxu Krdvw, dqg pdnh glvfrxhub",Caesar
"Jxo deironi kv kkb Rywid, kjt iqua neimkkono",Vigenère
PDGMMCCIATHPMVODNRTLRACRRIKCSXHMMLND,Playfair
"Tneouo,dkiuh ubr forHat n aedsoeyems  sam cr",Rail Fence
"Zrc veqncpu ah aep Raiuz, ivx qigc xwusaecpy",Affine
Huuh lq uhsruw ri yv,Caesar
Uhba sj bafynj kv ri,Vigenère
KMMKGAMKVHDZHPXP,Playfair
E rrfrei eoto srnp v,Rail Fence
Cppc wv pcfapz ah ju,Affine
Vrog. Lw vkdoo eh grqh,Caesar
Ievz. Yj oxkhb xu zexa,Vigenère
PATCKSPBMSSCKCNAIU,Playfair
S. lenod tsalb oelIh d,Rail Fence
Ualx. Wz urill nc xavc,Affine
"Vbz. Zh ohduqh qr rwkhu, exw wkh frqilghqw Wbudqw",Caesar
"Iog. Aa vaqbju je kjrah, rep ddu yexbynadd Dinqxp",Vigenère
QBXZUGULRMMGANRPCFADZLPDLENAGKCKRQQDMRRQ,Playfair
"S lnoh   fnyty.W eren te,bttecnietTrnwea oruhod a",Rail Fence
"Uyo. Oc lcipvc va azrcp, nez zrc savhwxcvz Zypivz",Affine
"Nhhshv vwloo lq Gxqvlqdqh, dqg zloo lqgxuh",Caesar
"Auoluc idebv yx Nejisjqxa, wdn mshb ednqho",Vigenère
EFFLILTLESSERYWMXSARMGRAYZESSERYZMIU,Playfair
"Ket Dieniirepssili usnn,adwl nuee lnna  ld",Rail Fence
"Gccfcu uzwll wv Xevuwvivc, ivx owll wvxepc",Affine
Rxu vhwwlqj grzqh ehiru'w,Caesar
Ekb iopjsjw zegju xupkh'p,Vigenère
MVATKLSKYQHRNYICFGNMSZ,Playfair
Osideftu etn on eo'rtgwbr,Rail Fence
Aep uczzwvm xaovc nchap'z,Affine
Pdof. 'Wlv klv pdlqh krsh:,Caesar
Cqvy. 'Dso rei iqsju deza:,Vigenère
ORUESKPBSXORGAFCHVIU,Playfair
M.iia eac Tshsmiehp:l'  no,Rail Fence
Qils. 'Zwu rwu qiwvc rafc:,Affine
"Iru zkhuh wkhuh lv dgxdqwdjh wr eh jlxhq,",Caesar
"Veb mraho jraho yc qnqqxpqqa dk la qekoj,",Vigenère
PHNZCFMKPDKMFKXBCZRASRIFPRCIIKMLAW,Playfair
"Fweeidt bi,o hr hr saunaet egunrete ago e",Rail Fence
"Hap orcpc zrcpc wu ixeivzimc za nc mwecv,",Affine
"Erwk pruh dqg ohvvh kdxh jlxhq klp wkh Uhxrow,",Caesar
"Redd wkho qxz vaica rwko wsqux xsi ddu Huekbd,",Vigenère
HAPDONMKRACTILLIBOMLIKMLOYEAPDKMLMMPSZ,Playfair
"B edsh eihetohmr n es aegunhmteRul,toaleui   o",Rail Fence
"Nazr qapc ivx lcuuc riec mwecv rwq zrc Pcealz,",Affine
"Dqg qrqh vhuxh zlwk klp, exw frqvwudlqhg wklqjv,",Caesar
"Qdn dyju oubqu sydd rec, rep mkdcphkedoz ddyxci,",Vigenère
RAYRNAILKMMLXGPDBFACZLHMAQZDBSMGKZBFYQXA,Playfair
"An uih  si nn oesrewt i,btcntandtig,dne hmuorehs",Rail Fence
"Ivx vavc ucpec owzr rwq, nez savuzpiwvcx zrwvmu,",Affine
Zkrvh khduwv duh devhqw wrr,Caesar
Mxyou duknjc qba kxiojj pey,Vigenère
VYAPFCIMDZXBMKBILIRQPRAV,Playfair
Wea  eths ersaeasn oohtrbto,Rail Fence
Orauc rcipzu ipc inucvz zaa,Affine
Pdfg. Ohw rxu lxvw Fhqvxuhv,Caesar
Cqmz. Bud een sqid Mojienuc,Vigenère
ORHCULPRZMEXTLELAQZMIL,Playfair
M.trserad e u utCnuecLoi ss,Rail Fence
Qisx. Lcz aep weuz Scvuepcu,Affine
"Dwwhqg wkh wuxh hxhqw, dqg sxw zh rq",Caesar
"Qjdadn jra dnko ueadd, kjt lkd mo ex",Vigenère
RSLKRYPDKLMZIULMGMSRRYLVQZFMAW,Playfair
"Anhretnuetedtetu un,adptw nt  ee   o",Rail Fence
"Izzcvx zrc zpec cecvz, ivx fez oc av",Affine
Lqgxvwulrxv Vrxoglhuvkls,Caesar
Ydnqidnyyqi Ieehtsahcdyz,Vigenère
GACZTLAKMVXAPAMUBKKMPBFS,Playfair
IsoSdsnutiu olirhpdrsuei,Rail Fence
Wvxeuzpwaeu Uaelxwcpurwf,Affine
"Vhb. Wkh wlph dssurdfkhv,",Caesar
"Iui. Xdu pywa klfbkqmduc,",Vigenère
LIDQCFSKCLOSTONRHYIL,Playfair
"S  epc,e.Tetm prahsyhiaoe",Rail Fence
"Ucy. Zrc zwqc iffpaisrcu,",Affine
Wkdw zloo zlwk gxh ghflvlrq pdnh yv nqrz,Caesar
Jxkp gebv mspx zko toyyceex ckgu ri gdys,Vigenère
PDRSXGSUQUKSYCMLCKBEXSNAOREFXPGRNV,Playfair
T ltueim khtwl ihdedcso aev nwaiw  inkso,Rail Fence
Zriz owll owzr xec xcswuwav qigc ju gvao,Affine
"Zkdw zh vkdoo vdb zh kdxh, dqg zkdw zh rzh:",Caesar
"Mxkp ga cdqvh cwo su dqea, wdn mrwj su kmo:",Vigenère
VYRSUGPBMSPTNBUGBOMLRAYZBOQZFMUG,Playfair
"W sly enhwwhtw hl a ehu,adwa eoeaeaswa  t :",Rail Fence
"Oriz oc urill uiy oc riec, ivx oriz oc aoc:",Affine
"Wkrxjkwv vshfxodwlxh, wkhlu yqvxuh krshv uhodwh,",Caesar
"Jxyqwrpi ofoykvwjsqu, jrayb lxokba rkfoo babkpu,",Vigenère
PDMVFYLTTQLEMURSEXKLCFKAWOLXMKFHLFTALURSIU,Playfair
"Tg ct,evro ahuhsseuaie hi nuehpsrlt,otplutrs eee",Rail Fence
"Zraemrzu ufcselizwec, zrcwp jvuepc rafcu pclizc,",Affine
"Exw fhuwdlqh lvvxh, vwurdnhv pxvw duelwudwh,",Caesar
"Rkd sonjkedo ycoko, cphywaoo wqid qbxydnqda,",Vigenère
CXLDKMSRGAFKXALXILZDNREFLAXLSRADKSMRLK,Playfair
"Bca usa tbau etieise toksms rirt,trns,reuate",Rail Fence
"Nez scpziwvc wuuec, uzpaigcu qeuz ipnwzpizc,",Affine
"Wrzdugv zklfk, dgxdqfh wkh zduuh.",Caesar
"Jegwhno gdymd, wtewdma ddu sqbnu.",Vigenère
PRXNDKQXBFHYRBXMMYKLCFXNAZMK,Playfair
"Trwhdcha.oad hc,aunetewrewsi a  r",Rail Fence
"Zaoipxu orwsr, ixeivsc zrc oippc.",Affine
Hahxqw. pdufklqj,Caesar
Unoqdd. wwhmdyxc,Vigenère
IULMRQORMDBFYQ,Playfair
Enmhxut acige.rn,Rail Fence
Ctcevz. qipsrwvm,Affine
Vfhqd Txlqwd.,Caesar
Isojq Gksjjk.,Vigenère
LBGMNSXERQBA,Playfair
Sai.cn unaeQt,Rail Fence
Uscvi Kewvzi.,Affine
"Hqwhu Pdfehwk, Vhbwrq, & Vrxoglhuv, zlwk Guxp dqg Frorxuv.",Caesar
"Uddah Cqmxudd, Iuipex, & Cyqbneubo, sydd Hnkw qxz Gkbyqhc.",Vigenère
GMLKMOMBCIPDLIDQNAPAMUBKKMQXKSYCMZORRYHMPMZMXA,Playfair
"Erchen lrw mdlsne abt,Syo,&Sudes ihDu n oor.tMe t oi,traCu",Rail Fence
"Cvzcp Qisnczr, Ucyzav, & Uaelxwcpu, owzr Xpeq ivx Salaepu.",Affine
"Pdfe. Kdqj rxw rxu Edqqhuv rq wkh rxwzdug zdoov,",Caesar
"Cqmx. Xqxc yqj kkb Lkjdoni kd pxo eepmknt sqvhi,",Vigenère
ORHDBOYQMVPRZMIBAWMGATNAPDFMZLXNDKXNSUPT,Playfair
"M.nuuarnetdlab agotorBneso h uwr al,cH   n toaws",Rail Fence
"Qisn. Rivm aez aep Nivvcpu av zrc aezoipx oillu,",Affine
"Wkh Fub lv vwloo, wkhb frph: rxu Fdvwohv vwuhqjwk",Caesar
"Jxo Mbu so cpyvh, pxou mkco: yqh Sqcpboo cphojwdd",Vigenère
PDLENDSXTLESPLCFBHNOFMZMBMTLULXATLMKYQPD,Playfair
"TCit,eo  t ehh r ssil hycm:orCslssrntey lt euaetg",Rail Fence
"Zrc Spy wu uzwll, zrcy saqc: aep Siuzlcu uzpcvmzr",Affine
"Zloo odxjk d Vlhgjh wr vfruqh: Khhuh ohw wkhp obh,",Caesar
"Myvh vwkqd k Csatqa dk cyebju: Roaho bop dduw bia,",Vigenère
XGSUSUSMWEBOXSKCIFPRLBNMMGCFKMLUKLPDLCQCIU,Playfair
"W g dtcee  meilluhaSeg oson:Heeltte y,la ie r rehl",Rail Fence
"Owll liemr i Uwcxmc za usapvc: Rccpc lcz zrcq lyc,",Affine
Wloo Idplqh dqg wkh Djxh hdwh wkhp ys:,Caesar
Jyvh Jwcsju wdn jra Ecko ukpu pxoi fl:,Vigenère
SKSUPEROGAIMRYPDIMEWIUIMLKPDLCOV,Playfair
T iatA eepilFmn n h geet hmv:laedeuat ,Rail Fence
Zwll Hiqwvc ivx zrc Imec cizc zrcq jf:,Affine
"Zhuh wkhb qrw iruf'g zlwk wkrvh wkdw vkrxog eh rxuv,",Caesar
"Muba ddui dyp pkhm't sydd ddeca ddqd irkkvz la yqhc,",Vigenère
UGMKPDGCANPKNMHCXGPDPDAPKLBOLTFHMUCDFMZMXA,Playfair
"W ytr hot ubueete o ocdwt hs htsol eor,rhnf'iteahd s",Rail Fence
"Ocpc zrcy vaz haps'x owzr zrauc zriz uraelx nc aepu,",Affine
"Zh pljkw kdxh phw wkhp gduhixoo, ehdug wr ehdug,",Caesar
"Mu iyqdj dqea waj pxoi nwhobkvh, xuknt pe xuknt,",Vigenère
UGAEFYPDMXLCKLPDLCBRMKEVSUSCIMDKPRCIRMBZ,Playfair
"Wi eteau roaemgthu e hmdrfl,badt er, hamt ele bd",Rail Fence
"Oc qwmrz riec qcz zrcq xipchell, ncipx za ncipx,",Affine
Dqg ehdwh wkhp edfnzdug krph. Zkdw lv wkdw qrbvh?,Caesar
Qdn rowjo jrac xqmgmknt dewa. Mxkp so ddqd dyuio?,Vigenère
RACDIMLKPDLCIBDEXNDKFHCLVYRSSXPDRSANBQIU,Playfair
Abeeaah.asao?n et hmbcwr oe hti htnyedat kdmW t s,Rail Fence
Ivx ncizc zrcq nisgoipx raqc. Oriz wu zriz vayuc?,Affine
D Fub zlwklq ri Zrphq.,Caesar
Q Gno syddyx ep Gyiux.,Vigenère
MBNDXGPDGAHPVNCLAW,Playfair
Ayt Wn r ihno oe.Cwifm,Rail Fence
I Spy owzrwv ah Oaqcv.,Affine
"Vhb. Lw lv wkh fub ri zrphq, pb jrrg Orug",Caesar
"Iui. Mp so ddu yhi ep myiux, wu qken Vynt",Vigenère
LIBGSKTLCFDMHNGVNOGMNCFNRHPMDK,Playfair
"S ihrfm g de.I stecyo oe,m odLryt   wnyoo",Rail Fence
"Ucy. Wz wu zrc spy ah oaqcv, qy maax Lapx",Affine
Pdfe. L kdxh doprvw irujrw wkh wdvwh ri Ihduhv:,Caesar
Cqmx. Y rwko qviecp pkhqkj pxo jkojo ep Powhoo:,Vigenère
ORHDFBMXIMUCAPPKNMFNSZPDKLBXLKHPGFRMIL,Playfair
M.h ofoha Feab  aeams ogttetseo erscIultr  tfa:,Rail Fence
Qisn. W riec ilqauz hapmaz zrc ziuzc ah Hcipcu:,Affine
"Wkh wlph kd'v ehhqh, pb vhqfhv zrxog kdxh frro'g",Caesar
"Jxo jsiu dq'o lauxa, io ouxyuc myqbn xkqu yeyh'n",Vigenère
PDKLEAFCBXCIGMLCBQGMELQXMVTCBOMLHMMPBZ,Playfair
"Tt se seo eoh ieh' en,m ecswudhu oldemabeyn lac'",Rail Fence
"Zrc zwqc ri'u nccvc, qy ucvscu oaelx riec saal'x",Affine
"Wr khduh d Qljkw-vkulhnh, dqg pb Ihoo ri kdluh",Caesar
"Je duknu w Rewrp-cdhsaao, kjt io Vuvh yb rwyba",Vigenère
PRCFRMIMAGFYLTDOKFEFRACRHGLUPMPFBSMK,Playfair
"Te i-i,d l rohaeaNgtsree n yFl fhie r hhkameoa",Rail Fence
"Za rcipc i Vwmrz-urpwcgc, ivx qy Hcll ah riwpc",Affine
"Zrxog dw d glvpdoo Wuhdwlvh urzch, dqg vwluuh",Caesar
"Meeht wj w neiwwbv Dbaqdeio hyspo, kjt ojsnho",Vigenère
VNMUBRSRBKLAMSPLMKRSSXKMNVUKRABTSKAZMK,Playfair
"Wd ilrirenteol tadsalTets oz,adsirua m aew  r",Rail Fence
"Oaelx iz i xwuqill Zpcizwuc paodc, ivx uzwppc",Affine
"Dv olih zhuh lq'w. L kdxh vxsw ixoo zlwk kruuruv,",Caesar
"Qi hypa gaho yx'j. S dqea cqfd vehb sydd rkhbkhc,",Vigenère
BXSEGFUGMKGASKBOMLLXQLEVSUQUKSBVFHAZMNAT,Playfair
"Aiw t epuw r,slf eei'.Ihu utfl ihhros ern as ltor",Rail Fence
"Iu lwhc ocpc wv'z. W riec uefz hell owzr rappapu,",Affine
Gluhqhvvh idploldu wr pb vodxjkwhurxv wkrxjkwv,Caesar
Tybadooio vkiyveqb jy ci ivwkqdjoneeo ddeecxdo,Vigenère
BKMKMGXALIIOAESERMPRNCTPMXFYLKMNXLPDMVFYLT,Playfair
Dnemao uesotiees aiirt ysagtru huhsrsfl mlhotg,Rail Fence
Xwpcvcuuc hiqwlwip za qy uliemrzcpaeu zraemrzu,Affine
Fdqqrw rqfh vwduw ph. Zkhuhiruh zdv wkdw fub?,Caesar
Sqxjed exyu ojknj iu. Grahobeba gwi pxkp mno?,Vigenère
BMAWANPRMYILSRDZCLVYKMFGNMGUBXPDRSDMBW,Playfair
Const.eowt ?antoc tr e hrfr a htcyn eamWeesar,Rail Fence
Sivvaz avsc uzipz qc. Orcpchapc oiu zriz spy?,Affine
Vhb. Wkh Txhhqh (pb Orug) lv ghdg,Caesar
Iui. Xdu Gkoado (wu Pkhn) so naqn,Vigenère
LIDQCFLWIUGMLCCQNMBKTBIMBZ,Playfair
S  e(L) de.TeQen m od sdayhueyrie,Rail Fence
Ucy. Zrc Keccvc (qy Lapx) wu xcix,Affine
Pdfe. Vkh vkrxog kdxh gb'gh khhuhdiwhu;,Caesar
Cqmx. Ixo irkkvz rwko ti'to xoahowvdah;,Vigenère
ORHDPBILFHMUCYMXKCBCFCIUKMIMKPKM,Playfair
M.eo e'heeab h hudhu yd eratrcSsladeef;,Rail Fence
Qisn. Urc uraelx riec xy'xc rccpcihzcp;,Affine
Wkhuh zrxog kdxh ehhqh d wlph iru vxfk d zrug:,Caesar
Jxonu seeht dqea lauxa k jsiu beb ieyx w gkhn:,Vigenère
PDKMGUMVTCBOMLCIGMIMSKCLPHATMEBOVNDK,Playfair
Teuh n erc dhr ol aebeeatm o uhawr:ewdue ifs o,Rail Fence
Zrcpc oaelx riec nccvc i zwqc hap uesr i oapx:,Affine
"Wr pruurz, dqg wr pruurz, dqg wr pruurz,",Caesar
"Je iebneg, kjt pe iebneg, kjt pe iebneg,",Vigenère
PRONAZMNXNRYPRONAZMNXNRYPRONAZMNXZ,Playfair
"Townor,d romro,adt orw n omro, r  moatow",Rail Fence
"Za qappao, ivx za qappao, ivx za qappao,",Affine
"Fuhhshv lq wklv shwwb sdfh iurp gdb wr gdb,",Caesar
"Shoafoo sj ddyc fopji fkyu bhyi nwo pe zqi,",Vigenère
DMIUFLILGAPDSXLFSZQDSOELKONOBRDQRHNB,Playfair
"Cpihpycrdtaree nti et aefo a odyes stp my ,",Rail Fence
"Spccfcu wv zrwu fczzy fisc hpaq xiy za xiy,",Affine
Wr wkh odvw Vboodeoh ri Uhfrughg wlph:,Caesar
Je pxo bkoj Iovhqlhu kv Humkhnat pywa:,Vigenère
PRPDLUBXLTCQSMCSFMKOLENMCKKZEAIU,Playfair
ThaSa Rr eotels ylbeo eoddtm:  tllfcei,Rail Fence
Za zrc liuz Uyllinlc ah Pcsapxcx zwqc:,Affine
"Dqg doo rxu bhvwhugdbhv, kdxh oljkwhg Irrohv",Caesar
"Qdn qvh yqh uucpubzqiai, xkqu hyqdjoz Jkevai",Vigenère
RABRSUPMZMCGTLKMBRCGPBMXLUKIDPKCPHMPIL,Playfair
"Aaoyey egdon l u etrae,hu ihe olsdlrsdsaltFe",Rail Fence
"Ivx ill aep ycuzcpxiycu, riec lwmrzcx Haalcu",Affine
"Wkh zdb wr gxvwb ghdwk. Rxw, rxw, euhhih Fdqgoh,",Caesar
"Jxo mku dk nqidu naqdd. Ekd, yqj, rbaupa Gwdnhu,",Vigenère
PDGUNBPRCZTLBCIMPDMVPRZLDAIUFGLERACTIU,Playfair
"Twtu tO ,e dh a odsydah u,ot reeCnl,ey te.tubfae",Rail Fence
"Zrc oiy za xeuzy xcizr. Aez, aez, npcchc Sivxlc,",Affine
"Olih'v exw d zdonlqj Vkdgrz, d srruh Sodbhu,",Caesar
"Bypa'c rep k mkhasjw Ixkzeg, k fykho Zvwoon,",Vigenère
SEGFXIZLNXMSEKYQPBRBNVOSAVNMFLSMCGAZ,Playfair
"L'u k d o yiesbtawligSao,apoePae,f  anhw rlr",Rail Fence
"Lwhc'u nez i oilgwvm Urixao, i faapc Fliycp,",Affine
"Wkdw vwuxwv dqg iuhwv klv krxuh ysrq wkh Vwdjh,",Caesar
"Jxkp cphepi wdn vbajc xso rkkba flex jra Wpqqa,",Vigenère
PDRSTLMZLTRAHKMKLTBFPBMVMKOVNAPDILSRIF,Playfair
"T uafssuv  ghtsrt n rt i or pnteSaeatsdehheoht,",Rail Fence
"Zriz uzpezu ivx hpczu rwu raepc jfav zrc Uzimc,",Affine
Dqg wkhq lv khdug qr pruh. Lw lv d Wdoh,Caesar
Qdn jrad ei duknt je ieba. Yj ei w Xwbo,Vigenère
RAKZCFAGPBIMDKANONMKKSSXRSMSIU,Playfair
At hd et an hni er omr.I saTldesano i e,Rail Fence
Ivx zrcv wu rcipx va qapc. Wz wu i Zilc,Affine
"Wrog eb dq Lghrw, ixoo ri vrxqg dqg ixub",Caesar
"Jevz lu kj Mzuyp, bkvh yb ckkxz kjt bkbu",Vigenère
PRTCDBRAKBFMPKMUPMIPMVRYRAHKZMBW,Playfair
"T ad,lfuafodb nIet ulo on n uyly of sddr",Rail Fence
"Zalx ny iv Wxcaz, hell ah uaevx ivx hepy",Affine
Vljqliblqj qrwklqj.,Caesar
Iyqjypuyxc xkjredq.,Vigenère
XSQYKGBGYQANPDGAIW,Playfair
Sinoninfigntiggy h.,Rail Fence
Uwmvwhywvm vazrwvm.,Affine
Hqwhu d Phvvhqjhu.,Caesar
Uddah w Qaicadqah.,Vigenère
GMLKMRCLXALIYQKM,Playfair
ErMerne  esne.tasg,Rail Fence
Cvzcp i Qcuucvmcp.,Affine
Wkrx frp'vw wr yvh wkb Wrqjxh: wkb Vwrub txlfnob,Caesar
Jxyq mkc'oj pe rio jru Xkdqqu: jru Wpebu aqymgbi,Vigenère
PDMVHMALSZPRXPKLYBPRYQMLPDBQPRNDLWEBETBW,Playfair
T 'tshoeht chucms ovetyTnu:tySoyqikyoot   g  rul,Rail Fence
Zrae saq'uz za juc zry Zavmec: zry Uzapy kewsgly,Affine
"Phv. Judflrxv pb Orug,",Caesar
"Cuc. Knqmeeeo wu Pkhn,",Vigenère
CLQIMRBEMVLACQNMBZ,Playfair
"M cs de.Gaiu yLr,sromo",Rail Fence
"Qcu. Mpiswaeu qy Lapx,",Affine
"L vkrxog uhsruw wkdw zklfk L vdb L vdz,",Caesar
"Y cdeeht nuzkhd jrwj sxsyx Y cwo Y cwm,",Vigenère
SXFHMUKDFLNMSZPDRSVYEBBFXBBGXBXZ,Playfair
"Io ot c  a hudrpr htwihIsyIswsletah a ,",Rail Fence
"W uraelx pcfapz zriz orwsr W uiy W uio,",Affine
Exw nqrz qrw krz wr grr'w,Caesar
Rkd axkm jed xys dk nke'p,Vigenère
CXZTANNYRPFHZQRHAVRP,Playfair
Bk   dtu nwnthwt o'tooooo,Rail Fence
Nez gvao vaz rao za xaa'z,Affine
"Pdfe. Zhoo, vdb vlu",Caesar
"Cqmx. Muvh, oqi isn",Vigenère
ORHDUGSUPTNBXSAZ,Playfair
"M.lssab el a icW,yr",Rail Fence
"Qisn. Ocll, uiy uwp",Affine
Phv. Dv L glg vwdqg pb zdwfk ysrq wkh Kloo,Caesar
Cuc. Eo M tsz cpqxz wu gwjmd flex jra Lebv,Vigenère
CLXBXSBKBTSRRYNCXNLDFOVHRQCFBFSUSU,Playfair
M Idama nele.A  i tn ywthvo h ilssdsd cptH,Rail Fence
Qcu. Iu W xwx uzivx qy oizsr jfav zrc Rwll,Affine
"L orrn'g wrzdug Ebuqdqh, dqg dqrq ph wkrxjkw",Caesar
"Y vkeu't pegwhn Lindkju, qxz kjex co jrkkqdj",Vigenère
ESAVRFKZNVRMCDDNARMGRABRANAOKLFHWEDP,Playfair
"Io aBa  n u okdtwr ynn,adao etogtl'odrennmhh",Rail Fence
"W laag'x zaoipx Nypvivc, ivx ivav qc zraemrz",Affine
Wkh Zrrg ehjdq wr prxh,Caesar
Jxo Gykt xuqwd pe ieea,Vigenère
PDGUAVRHCIINRQNOMVIU,Playfair
TW aouh odbgnt oeeoe m,Rail Fence
Zrc Oaax ncmiv za qaec,Affine
"Pdfe. Obdu, dqg Vodxh",Caesar
"Cqmx. Bokn, wdn Cvwko",Vigenère
ORHDQCRMRABTSMML,Playfair
"M.aaSeab yr n lucL,da",Rail Fence
"Qisn. Lyip, ivx Uliec",Affine
"Phv. Ohw ph hqgxuh brxu zudwk, li'w eh qrw vr:",Caesar
"Cuc. Paj iu adnqho oyqh shkpx, yp'j xu jed iy:",Vigenère
CLTPKLCLGMCZMKHNZMZNRSBFKPCIANLTAV,Playfair
"M  erowhfbooe.Ltm nueyu rt,i' ents:seed ra t  ",Rail Fence
"Qcu. Lcz qc cvxepc yaep opizr, wh'z nc vaz ua:",Affine
Zlwklq wklv wkuhh Ploh pdb brx vhh lw frpplqj.,Caesar
Myddyx jrei pxbau Cyva wwo uee ioa sp mkcwedq.,Vigenère
XGPDGAPDSXPDMKLCESLCNBHNXLIUFKLDNOAEYQ,Playfair
Wihtelaoetmgihnti he iemyyusei omn.t srM    ci,Rail Fence
Owzrwv zrwu zrpcc Qwlc qiy yae ucc wz saqqwvm.,Affine
"L vdb, d prxlqj Jurxh",Caesar
"Y cwo, q ieeedq Qbkko",Vigenère
SXNBROMVGAIWKNMVIU,Playfair
"Iy iGe a,amun rus ogo",Rail Fence
"W uiy, i qaewvm Mpaec",Affine
"Pdfe. Li wkrx vshdn'vw idovh,",Caesar
"Cqmx. Yv pxyq clukg'cp pwbca,",Vigenère
ORHDKGPDMVTQIMITPKMSLI,Playfair
"M. uesa,ab fto pa'tflecIhsk s",Rail Fence
"Qisn. Wh zrae ufcig'uz hiluc,",Affine
Ysrq wkh qhaw Wuhh vkdoo wkrx kdqj dolxh,Caesar
Lfyj ddu juhp Xnuo irwbv jrkk dqxc khyea,Vigenère
OVNAPDGMIUSZZDIUILBOSUPLFHVCRAINSEML,Playfair
V  teh unlpntenx resalto agaieoheT lhh u,Rail Fence
Jfav zrc vctz Zpcc urill zrae rivm ilwec,Affine
"Wloo Idplqh folqj wkhh: Li wkb vshhfk eh vrrwk,",Caesar
"Jyvh Jwcsju ybsjw pxoa: Yv pxi izaumd la ckedd,",Vigenère
SKSUPEROGALESEYQPDIUFKKPYBTQIULEYDILAVRPBV,Playfair
"T icgeIhph tilFmn ln he ftysec esohlaeit:  ebo,",Rail Fence
"Zwll Hiqwvc slwvm zrcc: Wh zry ufccsr nc uaazr,",Affine
L fduh qrw li wkrx grvw iru ph dv pxfk.,Caesar
Y mwho dyp sb ddee tyoj beb co qc ceyx.,Vigenère
EBRMGMRPKGPDMVHRTLPHMOIMLAMEBV,Playfair
